HYRIV_ID,NEXT_DOWN,MAIN_RIV,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,UPLAND_SKM,ENDORHEIC,DIS_AV_CMS,ORD_STRA,ORD_CLAS,ORD_FLOW,HYBAS_L12
40366901,40367022,40276558,6.20,549.6,10.2,30.97,31.0,1,0.014,1,3,8,4120472770
40366902,40368526,40276558,2.81,518.8,15.9,13.90,13.9,1,0.010,1,4,8,4120476620
40366903,40365008,40361361,9.63,19.4,14.5,30.64,30.6,1,0.006,1,3,9,4120467380
40366904,40366905,40365944,3.02,22.3,7.6,26.01,26.0,1,0.004,1,3,9,4120472310
40366905,40366573,40365944,2.83,19.7,26.0,13.75,90.4,1,0.016,2,2,8,4120472310
40366906,40366576,40364888,3.77,9.3,22.2,11.60,78.5,1,0.000,2,3,10,4121318040
40366907,40368025,40364888,5.83,35.9,12.1,34.45,34.5,1,0.000,1,3,10,4120475060
40366908,40365371,40364888,10.93,49.9,52.7,29.14,215.9,1,0.000,2,1,10,4120471700
40366909,40367246,40363583,3.21,50.2,10.9,20.55,20.5,1,0.000,1,2,10,4120473810
40366910,40366488,40360317,3.77,47.6,75.3,15.24,1081.9,1,0.000,4,2,10,4120472330
40366911,40366489,40360317,4.46,32.6,132.2,14.25,2158.2,1,0.000,4,2,10,4120468920
40366912,40364757,40360317,25.32,28.1,58.7,52.82,205.5,1,0.000,2,4,10,4120471030
40367021,40366472,40276558,3.16,539.4,209.3,15.74,6633.7,1,7.828,4,2,6,4120472770
40367022,40367021,40276558,7.22,542.4,17.4,15.74,68.9,1,0.031,2,3,8,4120472770
40367023,40366779,40276558,1.05,502.7,84.4,1.16,1535.3,1,0.826,4,3,7,4120464310
40367024,40366475,40276558,5.82,476.4,15.8,17.07,17.1,1,0.006,1,5,9,4120465060
40367025,40366781,40276558,0.93,458.6,78.3,0.99,665.6,1,0.497,3,2,7,4121318210
40367026,40366783,40361949,2.96,57.8,17.6,17.40,110.5,1,0.022,2,2,8,4120473130
